Share Symbol,Name,Number of transaction,Max Price,Min Price,Closing Price,Difference,Traded Shares,Traded Amount,Previous Closing,Percent Difference,Date
VLUCL,Vision Lumbini Urja Company Limited,313,Rs. 532.0,Rs. 511.3,Rs. 514.8,-8.2,17205,8907516.5,523.0,-1.57,"26 June, 2024"
VLUCL,Vision Lumbini Urja Company Limited,242,Rs. 515.0,Rs. 505.0,Rs. 512.2,-2.6,18608,9495540.5,514.8,-0.51,"27 June, 2024"
VLUCL,Vision Lumbini Urja Company Limited,253,Rs. 513.0,Rs. 502.6,Rs. 509.9,-2.3,13389,6775469.3,512.2,-0.45,"30 June, 2024"
VLUCL,Vision Lumbini Urja Company Limited,214,Rs. 508.9,Rs. 500.5,Rs. 506.0,-3.9,11874,5969709.5,509.9,-0.76,"01 July, 2024"
VLUCL,Vision Lumbini Urja Company Limited,262,Rs. 536.0,Rs. 509.0,Rs. 514.0,8.0,21707,11197208.6,506.0,1.58,"02 July, 2024"
VLUCL,Vision Lumbini Urja Company Limited,202,Rs. 518.0,Rs. 507.4,Rs. 512.9,-1.1,11904,6102607.5,514.0,-0.21,"03 July, 2024"
VLUCL,Vision Lumbini Urja Company Limited,257,Rs. 518.9,Rs. 510.0,Rs. 510.0,-2.9,11665,5982496.1,512.9,-0.57,"04 July, 2024"
VLUCL,Vision Lumbini Urja Company Limited,300,Rs. 516.0,Rs. 508.0,Rs. 512.0,2.0,14382,7352718.9,510.0,0.39,"07 July, 2024"
VLUCL,Vision Lumbini Urja Company Limited,215,Rs. 517.0,Rs. 507.0,Rs. 508.8,-3.2,12582,6402179.0,512.0,-0.62,"08 July, 2024"
VLUCL,Vision Lumbini Urja Company Limited,248,Rs. 515.0,Rs. 506.0,Rs. 513.0,4.2,13321,6814030.4,508.8,0.83,"09 July, 2024"
