Share Symbol,Name,Number of transaction,Max Price,Min Price,Closing Price,Difference,Traded Shares,Traded Amount,Previous Closing,Percent Difference,Date
NTC,Nepal Doorsanchar Company Limited,1052,Rs. 955.0,Rs. 917.0,Rs. 924.0,-15.0,101855,94947484.9,939.0,-1.6,"24 July, 2024"
NTC,Nepal Doorsanchar Company Limited,564,Rs. 942.0,Rs. 921.0,Rs. 924.1,0.1,56996,52783184.7,924.0,0.01,"25 July, 2024"
NTC,Nepal Doorsanchar Company Limited,1156,Rs. 992.8,Rs. 950.6,Rs. 978.8,-0.2,85284,82713330.3,979.0,-0.02,"30 July, 2024"
NTC,Nepal Doorsanchar Company Limited,1619,Rs. 1019.0,Rs. 990.0,Rs. 1006.0,27.2,183752,185377457.9,978.8,2.78,"31 July, 2024"
NTC,Nepal Doorsanchar Company Limited,1261,Rs. 1026.0,Rs. 991.8,Rs. 1000.0,-6.0,144657,146142737.2,1006.0,-0.6,"01 August, 2024"
NTC,Nepal Doorsanchar Company Limited,1348,Rs. 1048.0,Rs. 1005.0,Rs. 1040.0,40.0,160572,165599247.7,1000.0,4.0,"05 August, 2024"
NTC,Nepal Doorsanchar Company Limited,3071,Rs. 1109.0,Rs. 1011.3,Rs. 1020.0,-20.0,286878,305958830.7,1040.0,-1.92,"06 August, 2024"
NTC,Nepal Doorsanchar Company Limited,1418,Rs. 1080.0,Rs. 1010.0,Rs. 1079.0,59.0,138044,144577126.3,1020.0,5.78,"07 August, 2024"
NTC,Nepal Doorsanchar Company Limited,1165,Rs. 1109.0,Rs. 1060.0,Rs. 1064.0,-15.0,117906,127752299.8,1079.0,-1.39,"08 August, 2024"
NTC,Nepal Doorsanchar Company Limited,1643,Rs. 1141.3,Rs. 1066.0,Rs. 1124.0,60.0,189874,210782588.6,1064.0,5.64,"11 August, 2024"
NTC,Nepal Doorsanchar Company Limited,1208,Rs. 1150.0,Rs. 1099.0,Rs. 1122.0,-2.0,139467,156673384.1,1124.0,-0.18,"12 August, 2024"
NTC,Nepal Doorsanchar Company Limited,1094,Rs. 1146.0,Rs. 1116.1,Rs. 1125.0,3.0,115805,131010016.3,1122.0,0.27,"13 August, 2024"
NTC,Nepal Doorsanchar Company Limited,1015,Rs. 1214.0,Rs. 1117.0,Rs. 1125.0,0.0,120217,136105015.8,1125.0,0.0,"14 August, 2024"
NTC,Nepal Doorsanchar Company Limited,1515,Rs. 1125.0,Rs. 1104.9,Rs. 1113.9,-11.1,220875,245854034.4,1125.0,-0.99,"15 August, 2024"
