Share Symbol,Name,Number of transaction,Max Price,Min Price,Closing Price,Difference,Traded Shares,Traded Amount,Previous Closing,Percent Difference,Date
GVL,Green Ventures Limited,349,Rs. 357,Rs. 333.2,Rs. 342,-10.0,38796.00,13393903.60,352,-2.84,"01 January, 2023"
GVL,Green Ventures Limited,298,Rs. 348,Rs. 335.5,Rs. 348,6.0,16074.00,5490232.50,342,1.75,"02 January, 2023"
GVL,Green Ventures Limited,425,Rs. 367,Rs. 336.7,Rs. 355,7.0,59312.00,20951487.80,348,2.01,"03 January, 2023"
GVL,Green Ventures Limited,451,Rs. 385,Rs. 350,Rs. 375.3,20.3,51755.00,19161305.50,355,5.72,"04 January, 2023"
GVL,Green Ventures Limited,371,Rs. 394,Rs. 363,Rs. 379.5,4.2,40835.00,15334560.20,375.3,1.12,"05 January, 2023"
GVL,Green Ventures Limited,482,Rs. 400,Rs. 365.2,Rs. 386,6.5,43397.00,16829042.70,379.5,1.71,"08 January, 2023"
GVL,Green Ventures Limited,686,Rs. 414.9,Rs. 380,Rs. 414.9,28.9,80947.00,32072318.80,386,7.49,"09 January, 2023"
GVL,Green Ventures Limited,618,Rs. 420,Rs. 385,Rs. 396,-18.9,55882.00,22576641.50,414.9,-4.56,"10 January, 2023"
GVL,Green Ventures Limited,534,Rs. 403,Rs. 373.4,Rs. 378,-18.0,53704.00,20614541.30,396,-4.55,"12 January, 2023"
GVL,Green Ventures Limited,718,Rs. 415.8,Rs. 373,Rs. 415.8,37.8,96569.00,38992857.70,378,10.0,"17 January, 2023"
GVL,Green Ventures Limited,1100,Rs. 457.3,Rs. 424.1,Rs. 457.3,41.5,209612.00,95231527.00,415.8,9.98,"18 January, 2023"
GVL,Green Ventures Limited,1388,Rs. 500,Rs. 448,Rs. 488,30.7,70881.00,33626301.40,457.3,6.71,"19 January, 2023"
GVL,Green Ventures Limited,932,Rs. 497.7,Rs. 459,Rs. 459,-29.0,96935.00,46065711.00,488,-5.94,"23 January, 2023"
GVL,Green Ventures Limited,758,Rs. 484,Rs. 441.2,Rs. 474.1,15.1,40881.00,19069098.10,459,3.29,"24 January, 2023"
GVL,Green Ventures Limited,748,Rs. 511,Rs. 460,Rs. 511,36.9,57242.00,27523372.50,474.1,7.78,"25 January, 2023"
GVL,Green Ventures Limited,607,Rs. 501,Rs. 477.2,Rs. 488,-23.0,81475.00,39388797.20,511,-4.5,"26 January, 2023"
GVL,Green Ventures Limited,539,Rs. 477,Rs. 447.2,Rs. 451,-16.0,33467.00,15474141.60,467,-3.43,"30 January, 2023"
GVL,Green Ventures Limited,591,Rs. 467,Rs. 435.2,Rs. 467,16.0,31367.00,14222212.00,451,3.55,"31 January, 2023"
GVL,Green Ventures Limited,397,Rs. 474,Rs. 454,Rs. 456,-11.0,35371.00,16487894.90,467,-2.36,"01 February, 2023"
GVL,Green Ventures Limited,408,Rs. 461,Rs. 443,Rs. 449.9,-6.1,21655.00,9745469.90,456,-1.34,"02 February, 2023"
GVL,Green Ventures Limited,475,Rs. 470,Rs. 440,Rs. 446,-3.9,21377.00,9715659.80,449.9,-0.87,"05 February, 2023"
GVL,Green Ventures Limited,381,Rs. 455.1,Rs. 439.3,Rs. 446,0.0,10987.00,4922934.70,446,0.0,"06 February, 2023"
GVL,Green Ventures Limited,636,Rs. 490.6,Rs. 441,Rs. 490,44.0,49897.00,23413309.30,446,9.87,"07 February, 2023"
GVL,Green Ventures Limited,532,Rs. 499.5,Rs. 468.5,Rs. 471,-19.0,77063.00,37025346.50,490,-3.88,"08 February, 2023"
GVL,Green Ventures Limited,287,Rs. 472,Rs. 462.5,Rs. 470,-1.0,13630.00,6363028.00,471,-0.21,"09 February, 2023"
GVL,Green Ventures Limited,325,Rs. 465,Rs. 451.4,Rs. 454,-16.0,28749.00,13112150.90,470,-3.4,"12 February, 2023"
GVL,Green Ventures Limited,392,Rs. 473,Rs. 441,Rs. 452.5,-1.5,28714.00,13069257.50,454,-0.33,"14 February, 2023"
GVL,Green Ventures Limited,281,Rs. 456,Rs. 444,Rs. 445,-7.5,18250.00,8188009.00,452.5,-1.66,"15 February, 2023"
GVL,Green Ventures Limited,280,Rs. 454,Rs. 436.2,Rs. 438.8,-6.2,21774.00,9634708.30,445,-1.39,"16 February, 2023"
GVL,Green Ventures Limited,311,Rs. 440,Rs. 429,Rs. 438,-0.8,74512.00,32189102.20,438.8,-0.18,"20 February, 2023"
GVL,Green Ventures Limited,301,Rs. 452.9,Rs. 435.5,Rs. 450,-1.1,18301.00,8072095.60,451.1,-0.24,"23 February, 2023"
GVL,Green Ventures Limited,355,Rs. 466,Rs. 436,Rs. 459.7,0.7,27805.00,12452010.60,459,0.15,"27 February, 2023"
GVL,Green Ventures Limited,272,Rs. 462,Rs. 450.7,Rs. 454.9,-4.8,21011.00,9574027.00,459.7,-1.04,"28 February, 2023"
GVL,Green Ventures Limited,165,Rs. 450,Rs. 440.5,Rs. 443,-11.9,6600.00,2922529.00,454.9,-2.62,"01 March, 2023"
GVL,Green Ventures Limited,222,Rs. 436,Rs. 419,Rs. 420,-17.0,8255.00,3503770.00,437,-3.89,"05 March, 2023"
GVL,Green Ventures Limited,189,Rs. 440,Rs. 417.4,Rs. 430,10.0,12318.00,5259568.50,420,2.38,"07 March, 2023"
GVL,Green Ventures Limited,256,Rs. 446,Rs. 431,Rs. 443.9,13.9,12019.00,5273642.70,430,3.23,"09 March, 2023"
GVL,Green Ventures Limited,243,Rs. 446,Rs. 433.2,Rs. 440,-3.9,16397.00,7219936.50,443.9,-0.88,"12 March, 2023"
GVL,Green Ventures Limited,210,Rs. 457,Rs. 430.3,Rs. 457,17.0,13900.00,6061980.00,440,3.86,"13 March, 2023"
GVL,Green Ventures Limited,230,Rs. 465,Rs. 439.2,Rs. 445,-12.0,9354.00,4186847.80,457,-2.63,"14 March, 2023"
GVL,Green Ventures Limited,182,Rs. 447.4,Rs. 437,Rs. 446.9,1.9,5103.00,2246025.60,445,0.43,"15 March, 2023"
GVL,Green Ventures Limited,292,Rs. 464.1,Rs. 426.2,Rs. 464.1,31.1,22253.00,9764894.10,433,7.18,"19 March, 2023"
GVL,Green Ventures Limited,270,Rs. 454.9,Rs. 441.1,Rs. 453.9,-10.2,24248.00,10879304.00,464.1,-2.2,"20 March, 2023"
GVL,Green Ventures Limited,197,Rs. 443.7,Rs. 432.4,Rs. 440,0.0,17785.00,7792256.50,440,0.0,"23 March, 2023"
GVL,Green Ventures Limited,206,Rs. 435,Rs. 419.1,Rs. 430,-10.0,12721.00,5453721.60,440,-2.27,"26 March, 2023"
GVL,Green Ventures Limited,209,Rs. 434.8,Rs. 421.4,Rs. 433,3.0,10682.00,4564449.00,430,0.7,"27 March, 2023"
GVL,Green Ventures Limited,194,Rs. 441,Rs. 428.1,Rs. 429,-4.0,7767.00,3374543.00,433,-0.92,"28 March, 2023"
GVL,Green Ventures Limited,216,Rs. 436.5,Rs. 418.5,Rs. 422.1,-4.9,15240.00,6469092.70,427,-1.15,"30 March, 2023"
GVL,Green Ventures Limited,184,Rs. 415,Rs. 403,Rs. 409.5,-1.5,8404.00,3424450.60,411,-0.36,"03 April, 2023"
GVL,Green Ventures Limited,171,Rs. 413,Rs. 402.1,Rs. 409,-0.5,12189.00,4971347.30,409.5,-0.12,"04 April, 2023"
GVL,Green Ventures Limited,146,Rs. 410,Rs. 403,Rs. 404.2,-4.8,7785.00,3157646.00,409,-1.17,"05 April, 2023"
GVL,Green Ventures Limited,157,Rs. 414.4,Rs. 401.1,Rs. 401.1,-3.1,10775.00,4373754.50,404.2,-0.77,"06 April, 2023"
GVL,Green Ventures Limited,230,Rs. 407.7,Rs. 396,Rs. 396,-5.1,11609.00,4657999.40,401.1,-1.27,"09 April, 2023"
GVL,Green Ventures Limited,150,Rs. 403.1,Rs. 390,Rs. 400,4.0,10405.00,4150205.50,396,1.01,"10 April, 2023"
