Share Symbol,Name,Number of transaction,Max Price,Min Price,Closing Price,Difference,Traded Shares,Traded Amount,Previous Closing,Percent Difference,Date
NIFRA,Nepal Infrastructure Bank Limited,800,Rs. 221.3,Rs. 216.8,Rs. 217.3,-1.2,109522,23935136.3,218.5,-0.55,"15 February, 2024"
NIFRA,Nepal Infrastructure Bank Limited,1122,Rs. 221.6,Rs. 210.2,Rs. 211.0,-6.3,145858,31077565.7,217.3,-2.9,"18 February, 2024"
NIFRA,Nepal Infrastructure Bank Limited,1109,Rs. 219.0,Rs. 208.2,Rs. 213.8,2.8,150463,32205031.4,211.0,1.33,"20 February, 2024"
NIFRA,Nepal Infrastructure Bank Limited,728,Rs. 217.9,Rs. 210.8,Rs. 211.0,-2.8,89176,19032416.8,213.8,-1.31,"21 February, 2024"
NIFRA,Nepal Infrastructure Bank Limited,1010,Rs. 213.0,Rs. 208.1,Rs. 209.0,-2.0,106646,22407700.3,211.0,-0.95,"22 February, 2024"
NIFRA,Nepal Infrastructure Bank Limited,834,Rs. 210.0,Rs. 204.4,Rs. 205.0,-4.0,87096,18013666.1,209.0,-1.91,"25 February, 2024"
NIFRA,Nepal Infrastructure Bank Limited,652,Rs. 209.1,Rs. 205.1,Rs. 207.5,2.5,75673,15666953.1,205.0,1.22,"26 February, 2024"
NIFRA,Nepal Infrastructure Bank Limited,556,Rs. 211.0,Rs. 206.0,Rs. 208.1,0.6,83022,17290699.6,207.5,0.29,"27 February, 2024"
NIFRA,Nepal Infrastructure Bank Limited,496,Rs. 210.1,Rs. 205.1,Rs. 206.7,-1.4,52858,10978325.5,208.1,-0.67,"28 February, 2024"
NIFRA,Nepal Infrastructure Bank Limited,672,Rs. 209.8,Rs. 201.1,Rs. 202.0,-4.7,107011,21736513.8,206.7,-2.27,"29 February, 2024"
NIFRA,Nepal Infrastructure Bank Limited,603,Rs. 202.5,Rs. 200.0,Rs. 201.9,-0.1,70967,14243859.0,202.0,-0.05,"03 March, 2024"
NIFRA,Nepal Infrastructure Bank Limited,82,Rs. 218.0,Rs. 205.9,Rs. 217.0,15.1,21529,4615795.9,201.9,7.48,"04 March, 2024"
NIFRA,Nepal Infrastructure Bank Limited,761,Rs. 218.0,Rs. 207.3,Rs. 208.0,-9.0,117687,24873473.8,217.0,-4.15,"05 March, 2024"
NIFRA,Nepal Infrastructure Bank Limited,805,Rs. 213.0,Rs. 205.9,Rs. 209.4,1.4,170586,35840713.9,208.0,0.67,"06 March, 2024"
NIFRA,Nepal Infrastructure Bank Limited,560,Rs. 214.9,Rs. 208.3,Rs. 210.4,1.0,65251,13779779.4,209.4,0.48,"07 March, 2024"
NIFRA,Nepal Infrastructure Bank Limited,580,Rs. 214.6,Rs. 210.5,Rs. 211.7,1.3,56931,12086790.5,210.4,0.62,"10 March, 2024"
NIFRA,Nepal Infrastructure Bank Limited,985,Rs. 220.0,Rs. 213.5,Rs. 219.0,7.3,137526,29803850.6,211.7,3.45,"12 March, 2024"
NIFRA,Nepal Infrastructure Bank Limited,722,Rs. 221.0,Rs. 216.0,Rs. 217.0,-2.0,106968,23335329.5,219.0,-0.91,"13 March, 2024"
NIFRA,Nepal Infrastructure Bank Limited,537,Rs. 218.0,Rs. 212.3,Rs. 212.5,-4.5,70696,15149268.3,217.0,-2.07,"14 March, 2024"
NIFRA,Nepal Infrastructure Bank Limited,738,Rs. 215.0,Rs. 209.2,Rs. 210.5,-2.0,72431,15306957.9,212.5,-0.94,"17 March, 2024"
NIFRA,Nepal Infrastructure Bank Limited,581,Rs. 212.0,Rs. 209.6,Rs. 212.0,1.5,56613,11927779.3,210.5,0.71,"18 March, 2024"
NIFRA,Nepal Infrastructure Bank Limited,614,Rs. 213.5,Rs. 209.0,Rs. 210.0,-2.0,101185,21284608.2,212.0,-0.94,"19 March, 2024"
NIFRA,Nepal Infrastructure Bank Limited,552,Rs. 214.0,Rs. 208.0,Rs. 208.9,-1.1,75932,15866964.2,210.0,-0.52,"20 March, 2024"
NIFRA,Nepal Infrastructure Bank Limited,511,Rs. 210.0,Rs. 206.5,Rs. 206.9,-2.0,65405,13563192.9,208.9,-0.96,"21 March, 2024"
NIFRA,Nepal Infrastructure Bank Limited,503,Rs. 208.9,Rs. 203.7,Rs. 205.2,-1.7,53847,11025639.6,206.9,-0.82,"25 March, 2024"
NIFRA,Nepal Infrastructure Bank Limited,582,Rs. 208.9,Rs. 203.0,Rs. 207.9,2.7,46052,9510948.7,205.2,1.32,"26 March, 2024"
NIFRA,Nepal Infrastructure Bank Limited,481,Rs. 212.0,Rs. 205.0,Rs. 205.2,-2.7,56334,11672390.7,207.9,-1.3,"27 March, 2024"
NIFRA,Nepal Infrastructure Bank Limited,574,Rs. 210.0,Rs. 202.0,Rs. 207.2,2.0,64281,13270230.9,205.2,0.97,"28 March, 2024"
NIFRA,Nepal Infrastructure Bank Limited,644,Rs. 207.0,Rs. 204.0,Rs. 204.3,-2.9,53105,10856689.1,207.2,-1.4,"31 March, 2024"
NIFRA,Nepal Infrastructure Bank Limited,498,Rs. 204.9,Rs. 201.0,Rs. 203.0,-1.3,36643,7457627.5,204.3,-0.64,"01 April, 2024"
NIFRA,Nepal Infrastructure Bank Limited,504,Rs. 205.0,Rs. 202.5,Rs. 203.6,0.6,45901,9320186.6,203.0,0.3,"02 April, 2024"
NIFRA,Nepal Infrastructure Bank Limited,554,Rs. 205.0,Rs. 201.3,Rs. 202.5,-1.1,48121,9767558.0,203.6,-0.54,"03 April, 2024"
NIFRA,Nepal Infrastructure Bank Limited,569,Rs. 205.0,Rs. 201.5,Rs. 202.0,-0.5,59269,12011204.3,202.5,-0.25,"04 April, 2024"
NIFRA,Nepal Infrastructure Bank Limited,658,Rs. 206.0,Rs. 200.6,Rs. 203.4,1.4,68600,13917023.8,202.0,0.69,"07 April, 2024"
NIFRA,Nepal Infrastructure Bank Limited,854,Rs. 208.0,Rs. 203.1,Rs. 208.0,4.6,94427,19393264.3,203.4,2.26,"09 April, 2024"
NIFRA,Nepal Infrastructure Bank Limited,642,Rs. 210.0,Rs. 204.0,Rs. 210.0,2.0,88711,18249116.1,208.0,0.96,"10 April, 2024"
NIFRA,Nepal Infrastructure Bank Limited,717,Rs. 210.0,Rs. 203.0,Rs. 204.0,-6.0,66947,13698707.7,210.0,-2.86,"14 April, 2024"
NIFRA,Nepal Infrastructure Bank Limited,491,Rs. 204.0,Rs. 201.0,Rs. 201.8,-2.2,54164,10947595.1,204.0,-1.08,"15 April, 2024"
NIFRA,Nepal Infrastructure Bank Limited,487,Rs. 202.8,Rs. 197.8,Rs. 200.0,-1.8,65204,13061871.8,201.8,-0.89,"16 April, 2024"
NIFRA,Nepal Infrastructure Bank Limited,487,Rs. 200.0,Rs. 197.0,Rs. 198.0,-2.0,59454,11788297.5,200.0,-1.0,"18 April, 2024"
NIFRA,Nepal Infrastructure Bank Limited,498,Rs. 201.9,Rs. 196.2,Rs. 201.5,3.5,42180,8350246.6,198.0,1.77,"21 April, 2024"
NIFRA,Nepal Infrastructure Bank Limited,422,Rs. 205.0,Rs. 197.0,Rs. 198.0,-3.5,47699,9483568.0,201.5,-1.74,"22 April, 2024"
NIFRA,Nepal Infrastructure Bank Limited,404,Rs. 200.0,Rs. 196.0,Rs. 197.0,-1.0,36581,7229520.9,198.0,-0.51,"24 April, 2024"
NIFRA,Nepal Infrastructure Bank Limited,440,Rs. 199.8,Rs. 196.0,Rs. 196.0,-1.0,48123,9467766.1,197.0,-0.51,"25 April, 2024"
NIFRA,Nepal Infrastructure Bank Limited,614,Rs. 200.0,Rs. 196.1,Rs. 197.3,1.3,64328,12739208.3,196.0,0.66,"28 April, 2024"
NIFRA,Nepal Infrastructure Bank Limited,388,Rs. 201.2,Rs. 196.6,Rs. 197.4,0.1,37510,7424638.8,197.3,0.05,"29 April, 2024"
NIFRA,Nepal Infrastructure Bank Limited,620,Rs. 204.0,Rs. 196.1,Rs. 201.4,4.0,68298,13665599.7,197.4,2.03,"30 April, 2024"
NIFRA,Nepal Infrastructure Bank Limited,515,Rs. 205.4,Rs. 198.2,Rs. 198.6,-2.8,49042,9831953.2,201.4,-1.39,"02 May, 2024"
NIFRA,Nepal Infrastructure Bank Limited,465,Rs. 199.5,Rs. 193.8,Rs. 193.9,-2.2,61493,11976311.1,196.1,-1.12,"06 May, 2024"
NIFRA,Nepal Infrastructure Bank Limited,367,Rs. 197.0,Rs. 193.0,Rs. 193.3,-0.6,51625,10014879.5,193.9,-0.31,"07 May, 2024"
NIFRA,Nepal Infrastructure Bank Limited,333,Rs. 195.0,Rs. 191.2,Rs. 192.0,-1.3,52978,10195001.3,193.3,-0.67,"08 May, 2024"
NIFRA,Nepal Infrastructure Bank Limited,446,Rs. 193.5,Rs. 191.0,Rs. 192.0,0.0,49786,9544898.7,192.0,0.0,"09 May, 2024"
NIFRA,Nepal Infrastructure Bank Limited,474,Rs. 195.8,Rs. 190.1,Rs. 193.0,1.0,56253,10860954.5,192.0,0.52,"12 May, 2024"
NIFRA,Nepal Infrastructure Bank Limited,601,Rs. 201.0,Rs. 191.3,Rs. 200.0,7.0,78687,15580406.9,193.0,3.63,"13 May, 2024"
NIFRA,Nepal Infrastructure Bank Limited,458,Rs. 204.0,Rs. 196.3,Rs. 202.0,2.0,44812,9009633.9,200.0,1.0,"14 May, 2024"
NIFRA,Nepal Infrastructure Bank Limited,450,Rs. 204.0,Rs. 198.0,Rs. 198.9,-3.1,66471,13315339.4,202.0,-1.53,"15 May, 2024"
NIFRA,Nepal Infrastructure Bank Limited,439,Rs. 202.8,Rs. 196.0,Rs. 196.5,-2.4,45085,8872375.3,198.9,-1.21,"16 May, 2024"
NIFRA,Nepal Infrastructure Bank Limited,672,Rs. 203.0,Rs. 196.0,Rs. 199.0,2.5,75671,15116248.6,196.5,1.27,"19 May, 2024"
NIFRA,Nepal Infrastructure Bank Limited,980,Rs. 213.0,Rs. 198.0,Rs. 204.0,5.0,163447,33554315.8,199.0,2.51,"20 May, 2024"
NIFRA,Nepal Infrastructure Bank Limited,701,Rs. 210.0,Rs. 201.9,Rs. 206.1,2.1,103282,21289462.9,204.0,1.03,"21 May, 2024"
NIFRA,Nepal Infrastructure Bank Limited,639,Rs. 208.0,Rs. 203.0,Rs. 205.5,-0.6,84193,17366767.8,206.1,-0.29,"22 May, 2024"
NIFRA,Nepal Infrastructure Bank Limited,625,Rs. 208.0,Rs. 201.0,Rs. 201.5,-4.0,82620,16804369.1,205.5,-1.95,"26 May, 2024"
NIFRA,Nepal Infrastructure Bank Limited,686,Rs. 208.0,Rs. 201.0,Rs. 206.0,4.5,88702,18200406.6,201.5,2.23,"27 May, 2024"
NIFRA,Nepal Infrastructure Bank Limited,572,Rs. 210.1,Rs. 200.2,Rs. 201.8,-4.2,111078,22649719.3,206.0,-2.04,"29 May, 2024"
NIFRA,Nepal Infrastructure Bank Limited,516,Rs. 205.0,Rs. 197.8,Rs. 198.2,-3.6,81442,16243169.5,201.8,-1.78,"30 May, 2024"
NIFRA,Nepal Infrastructure Bank Limited,599,Rs. 202.0,Rs. 197.1,Rs. 199.0,0.8,78926,15639726.3,198.2,0.4,"02 June, 2024"
NIFRA,Nepal Infrastructure Bank Limited,477,Rs. 202.0,Rs. 197.1,Rs. 198.9,-0.1,55569,10985174.5,199.0,-0.05,"03 June, 2024"
NIFRA,Nepal Infrastructure Bank Limited,488,Rs. 200.0,Rs. 196.2,Rs. 197.5,-1.4,52600,10395181.5,198.9,-0.7,"04 June, 2024"
NIFRA,Nepal Infrastructure Bank Limited,392,Rs. 200.0,Rs. 196.0,Rs. 198.0,0.5,49623,9755220.9,197.5,0.25,"05 June, 2024"
NIFRA,Nepal Infrastructure Bank Limited,483,Rs. 198.0,Rs. 195.1,Rs. 195.2,-2.8,64369,12628990.6,198.0,-1.41,"06 June, 2024"
NIFRA,Nepal Infrastructure Bank Limited,623,Rs. 199.1,Rs. 193.1,Rs. 193.9,-1.3,64649,12572511.9,195.2,-0.67,"09 June, 2024"
NIFRA,Nepal Infrastructure Bank Limited,668,Rs. 197.7,Rs. 189.9,Rs. 194.1,0.2,114738,22060746.0,193.9,0.1,"10 June, 2024"
NIFRA,Nepal Infrastructure Bank Limited,663,Rs. 198.9,Rs. 193.2,Rs. 197.9,3.8,88520,17370495.2,194.1,1.96,"11 June, 2024"
NIFRA,Nepal Infrastructure Bank Limited,576,Rs. 200.0,Rs. 196.0,Rs. 196.5,-1.4,74959,14826656.9,197.9,-0.71,"12 June, 2024"
NIFRA,Nepal Infrastructure Bank Limited,446,Rs. 197.0,Rs. 195.0,Rs. 195.6,-0.9,59260,11584207.0,196.5,-0.46,"13 June, 2024"
NIFRA,Nepal Infrastructure Bank Limited,587,Rs. 198.0,Rs. 193.9,Rs. 194.9,-0.7,59858,11659715.0,195.6,-0.36,"16 June, 2024"
NIFRA,Nepal Infrastructure Bank Limited,641,Rs. 195.0,Rs. 192.0,Rs. 192.9,-2.0,63894,12320347.0,194.9,-1.03,"18 June, 2024"
NIFRA,Nepal Infrastructure Bank Limited,530,Rs. 193.9,Rs. 191.0,Rs. 191.5,-1.4,68327,13116538.4,192.9,-0.73,"19 June, 2024"
NIFRA,Nepal Infrastructure Bank Limited,490,Rs. 195.3,Rs. 190.4,Rs. 191.3,-0.2,61298,11752290.6,191.5,-0.1,"20 June, 2024"
NIFRA,Nepal Infrastructure Bank Limited,531,Rs. 194.0,Rs. 190.1,Rs. 192.0,0.7,46718,8951599.9,191.3,0.37,"23 June, 2024"
NIFRA,Nepal Infrastructure Bank Limited,657,Rs. 193.0,Rs. 189.5,Rs. 189.6,-2.4,99603,18981573.2,192.0,-1.25,"24 June, 2024"
NIFRA,Nepal Infrastructure Bank Limited,572,Rs. 194.0,Rs. 189.3,Rs. 193.4,3.8,76762,14790608.6,189.6,2.0,"25 June, 2024"
NIFRA,Nepal Infrastructure Bank Limited,428,Rs. 194.4,Rs. 190.0,Rs. 190.3,-3.1,44174,8425852.0,193.4,-1.6,"26 June, 2024"
NIFRA,Nepal Infrastructure Bank Limited,388,Rs. 191.0,Rs. 189.0,Rs. 190.6,0.3,61825,11724133.9,190.3,0.16,"27 June, 2024"
NIFRA,Nepal Infrastructure Bank Limited,452,Rs. 194.4,Rs. 188.5,Rs. 188.9,-1.7,51105,9682753.6,190.6,-0.89,"30 June, 2024"
NIFRA,Nepal Infrastructure Bank Limited,483,Rs. 192.6,Rs. 188.1,Rs. 190.0,1.1,55505,10532322.9,188.9,0.58,"01 July, 2024"
NIFRA,Nepal Infrastructure Bank Limited,661,Rs. 207.7,Rs. 193.0,Rs. 195.0,5.0,97546,19163310.9,190.0,2.63,"02 July, 2024"
NIFRA,Nepal Infrastructure Bank Limited,423,Rs. 196.7,Rs. 192.0,Rs. 194.0,-1.0,52772,10183790.4,195.0,-0.51,"03 July, 2024"
NIFRA,Nepal Infrastructure Bank Limited,815,Rs. 200.1,Rs. 192.4,Rs. 199.0,5.0,164063,32176623.5,194.0,2.58,"04 July, 2024"
NIFRA,Nepal Infrastructure Bank Limited,1898,Rs. 213.0,Rs. 196.1,Rs. 209.0,10.0,475730,98459634.6,199.0,5.03,"07 July, 2024"
NIFRA,Nepal Infrastructure Bank Limited,1491,Rs. 214.9,Rs. 208.1,Rs. 210.8,1.8,348107,73572657.6,209.0,0.86,"08 July, 2024"
NIFRA,Nepal Infrastructure Bank Limited,680,Rs. 212.0,Rs. 207.0,Rs. 208.0,-2.8,103143,21525902.4,210.8,-1.33,"09 July, 2024"
NIFRA,Nepal Infrastructure Bank Limited,745,Rs. 212.1,Rs. 207.1,Rs. 208.6,0.6,176406,36995866.2,208.0,0.29,"10 July, 2024"
NIFRA,Nepal Infrastructure Bank Limited,811,Rs. 212.7,Rs. 207.0,Rs. 210.5,1.9,157097,32896494.6,208.6,0.91,"11 July, 2024"
NIFRA,Nepal Infrastructure Bank Limited,975,Rs. 214.7,Rs. 211.0,Rs. 213.0,2.5,216712,46096054.3,210.5,1.19,"14 July, 2024"
NIFRA,Nepal Infrastructure Bank Limited,1694,Rs. 235.0,Rs. 224.0,Rs. 235.0,7.0,380259,87187710.0,228.0,3.07,"16 July, 2024"
NIFRA,Nepal Infrastructure Bank Limited,1579,Rs. 243.7,Rs. 229.0,Rs. 231.2,-3.8,353494,82924407.7,235.0,-1.62,"17 July, 2024"
NIFRA,Nepal Infrastructure Bank Limited,2173,Rs. 240.0,Rs. 227.6,Rs. 232.1,0.9,493169,115324431.2,231.2,0.39,"18 July, 2024"
NIFRA,Nepal Infrastructure Bank Limited,1917,Rs. 242.0,Rs. 230.0,Rs. 237.0,4.9,491167,116986553.8,232.1,2.11,"21 July, 2024"
NIFRA,Nepal Infrastructure Bank Limited,1998,Rs. 236.1,Rs. 229.9,Rs. 231.0,-6.0,350058,81255107.2,237.0,-2.53,"22 July, 2024"
NIFRA,Nepal Infrastructure Bank Limited,1908,Rs. 236.6,Rs. 229.0,Rs. 236.0,5.0,266106,62403528.2,231.0,2.16,"23 July, 2024"
