Share Symbol,Name,Number of transaction,Max Price,Min Price,Closing Price,Difference,Traded Shares,Traded Amount,Previous Closing,Percent Difference,Date
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,629,Rs. 323.0,Rs. 313.6,Rs. 314.0,-2.0,41465,13207507.5,316.0,-0.63,"12 June, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,863,Rs. 335.0,Rs. 311.9,Rs. 330.0,16.0,63618,20712484.3,314.0,5.1,"13 June, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,990,Rs. 344.2,Rs. 325.6,Rs. 338.8,8.8,94043,31725500.7,330.0,2.67,"14 June, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,646,Rs. 338.5,Rs. 328.0,Rs. 333.0,-5.8,60358,20133441.7,338.8,-1.71,"15 June, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,969,Rs. 361.0,Rs. 325.7,Rs. 356.0,23.0,85258,30040077.4,333.0,6.91,"18 June, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,536,Rs. 363.0,Rs. 346.0,Rs. 348.0,-8.0,40370,14145104.5,356.0,-2.25,"19 June, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,479,Rs. 358.0,Rs. 338.6,Rs. 338.7,-9.3,48793,17015954.7,348.0,-2.67,"20 June, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,541,Rs. 351.9,Rs. 332.0,Rs. 338.0,-0.7,48169,16289379.2,338.7,-0.21,"21 June, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,483,Rs. 341.7,Rs. 325.0,Rs. 330.0,-8.0,41341,13659129.1,338.0,-2.37,"22 June, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,751,Rs. 352.7,Rs. 320.0,Rs. 339.1,9.1,50524,16539423.5,330.0,2.76,"25 June, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,607,Rs. 350.0,Rs. 332.0,Rs. 332.0,-7.1,50618,17184140.2,339.1,-2.09,"26 June, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,784,Rs. 350.0,Rs. 329.2,Rs. 345.0,13.0,48663,16500251.4,332.0,3.92,"27 June, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,513,Rs. 342.0,Rs. 332.1,Rs. 339.9,-5.1,48871,16372670.9,345.0,-1.48,"28 June, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,608,Rs. 334.0,Rs. 323.3,Rs. 325.0,-14.9,53773,17582222.8,339.9,-4.38,"02 July, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,566,Rs. 330.0,Rs. 319.0,Rs. 321.0,-4.0,33842,10931372.3,325.0,-1.23,"03 July, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,450,Rs. 327.0,Rs. 312.0,Rs. 320.0,-1.0,26084,8304991.2,321.0,-0.31,"04 July, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,0,Rs. 320.0,Rs. 310.0,Rs. 310.0,-10.0,10620,3327315.5,320.0,-3.13,"05 July, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,0,Rs. 312.0,Rs. 306.0,Rs. 307.0,-8.0,9475,2925754.8,315.0,-2.54,"06 July, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,490,Rs. 328.0,Rs. 306.0,Rs. 310.2,0.2,15620,4890639.5,310.0,0.06,"09 July, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,443,Rs. 313.0,Rs. 306.0,Rs. 306.1,-4.1,19976,6162850.5,310.2,-1.32,"10 July, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,395,Rs. 304.5,Rs. 299.0,Rs. 300.3,-5.8,19737,5953732.4,306.1,-1.89,"11 July, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,527,Rs. 322.3,Rs. 299.7,Rs. 313.0,12.7,33602,10403103.7,300.3,4.23,"12 July, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,340,Rs. 325.0,Rs. 303.1,Rs. 303.7,-9.3,31678,9702587.3,313.0,-2.97,"13 July, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,484,Rs. 309.3,Rs. 293.1,Rs. 307.0,11.9,16936,5153521.8,295.1,4.03,"17 July, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,441,Rs. 313.0,Rs. 301.0,Rs. 305.0,-2.0,14678,4478361.0,307.0,-0.65,"18 July, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,384,Rs. 306.0,Rs. 300.0,Rs. 301.0,-4.0,21082,6360870.0,305.0,-1.31,"19 July, 2023"
