Share Symbol,Name,Number of transaction,Max Price,Min Price,Closing Price,Difference,Traded Shares,Traded Amount,Previous Closing,Percent Difference,Date
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,95,Rs. 645.0,Rs. 575.0,Rs. 630.9,16.9,4100,2422551.5,614.0,2.75,"22 November, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,31,Rs. 618.3,Rs. 593.9,Rs. 615.0,-15.9,478,289997.0,630.9,-2.52,"23 November, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,71,Rs. 572.0,Rs. 549.8,Rs. 560.0,-10.0,1853,1031842.2,570.0,-1.75,"03 December, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,62,Rs. 561.0,Rs. 543.0,Rs. 557.0,-3.0,1238,684491.0,560.0,-0.54,"04 December, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,55,Rs. 561.0,Rs. 546.0,Rs. 555.0,-2.0,2078,1145740.0,557.0,-0.36,"05 December, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,75,Rs. 565.0,Rs. 545.0,Rs. 563.0,8.0,2554,1422682.0,555.0,1.44,"06 December, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,79,Rs. 619.3,Rs. 552.0,Rs. 602.7,39.7,2862,1625979.3,563.0,7.05,"07 December, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,17,Rs. 662.0,Rs. 590.7,Rs. 662.0,59.3,731,468207.6,602.7,9.84,"10 December, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,185,Rs. 662.0,Rs. 595.8,Rs. 632.0,-30.0,10278,6405643.9,662.0,-4.53,"11 December, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,130,Rs. 642.0,Rs. 596.0,Rs. 625.0,-7.0,8521,5337121.5,632.0,-1.11,"12 December, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,124,Rs. 674.0,Rs. 603.0,Rs. 635.0,10.0,9198,5768153.3,625.0,1.6,"13 December, 2023"
